,beds,baths,size,lot_size,price
0,3,2.5,16128,6000.0,yes
1,4,2.0,16128,13503.6,yes
2,4,3.0,16128,3783.0,yes
3,4,3.0,16128,5175.0,yes
4,2,2.0,16128,3871.059694427803,yes
5,2,2.0,16128,43560.0,yes
6,1,1.0,16128,6000.0,yes
7,5,3.5,16128,6000.0,no
8,3,2.5,16128,741.0,no
9,4,2.0,16128,9500.0,no
10,3,2.0,16128,1386.0,yes
11,3,2.0,16128,3993.0,yes
12,3,2.5,16128,5757.0,yes
13,4,3.0,16128,6380.0,yes
14,5,1.5,16128,5200.0,yes
15,2,1.5,16128,3871.059694427803,yes
16,3,3.5,16128,3871.059694427803,yes
17,1,1.0,16128,3871.059694427803,yes
18,3,2.5,16128,3840.0,yes
19,4,3.5,16128,1607.0,yes
20,2,2.0,16128,1101.0,yes
21,4,3.0,16128,5589.0,no
22,2,1.0,16128,5250.0,no
23,3,1.5,16128,9100.0,yes
24,5,3.5,16128,9260.0,yes
25,2,1.5,16128,10018.800000000001,yes
26,1,1.0,16128,3871.059694427803,yes
27,3,2.0,16128,5000.0,yes
28,4,2.0,16128,8077.0,yes
29,1,1.0,16128,3871.059694427803,yes
30,3,2.5,16128,1733.0,yes
31,4,5.5,16128,5520.0,yes
32,3,3.0,16128,1400.0,yes
33,2,2.0,16128,12632.4,yes
34,4,1.5,16128,8778.0,yes
35,1,1.0,16128,3871.059694427803,yes
36,3,2.0,16128,3349.0,yes
37,5,5.0,16128,11761.2,yes
38,1,1.0,16128,3871.059694427803,yes
39,1,1.0,16128,3871.059694427803,yes
40,3,2.5,16128,1056.0,yes
41,5,4.0,16128,6323.0,yes
42,3,2.0,16128,6375.0,yes
43,1,1.0,16128,21344.399999999998,yes
44,2,2.0,16128,3000.0,yes
45,2,2.0,16128,3871.059694427803,yes
46,2,1.0,16128,5038.0,yes
47,4,2.5,16128,3932.0,yes
48,5,3.5,16128,15681.599999999999,yes
49,4,3.5,16128,2761.0,yes
50,3,3.0,16128,6600.0,no
51,2,1.0,16128,7500.0,no
52,3,2.0,16128,5829.0,yes
53,3,2.0,16128,6720.0,yes
54,2,1.0,16128,3060.0,yes
55,5,3.0,16128,6250.0,yes
56,5,3.0,16128,3600.0,yes
57,2,2.0,16128,5500.0,yes
58,3,2.0,16128,7514.0,yes
59,3,2.5,16128,8240.0,yes
60,2,2.5,16128,1110.0,yes
61,4,5.5,16128,8965.0,yes
62,5,3.0,16128,11761.2,yes
63,5,3.0,16128,6250.0,yes
64,3,1.0,16128,3840.0,yes
65,2,1.0,16128,3871.059694427803,yes
66,4,2.0,16128,4864.0,yes
67,3,2.5,16128,4080.0,yes
68,3,2.0,16128,1333.0,yes
69,3,2.0,16128,6600.0,yes
70,4,3.5,16128,43560.0,yes
71,3,2.0,16128,7320.0,yes
72,4,1.5,16128,7440.0,yes
73,3,1.5,16128,5120.0,yes
74,6,3.5,16128,12196.800000000001,yes
75,2,2.5,16128,3871.059694427803,yes
76,1,1.0,16128,3871.059694427803,yes
77,3,1.0,16128,11761.2,yes
78,2,1.0,16128,6554.0,yes
79,3,3.5,16128,1239.0,yes
80,3,1.0,16128,6096.0,yes
81,4,2.5,16128,11325.6,yes
82,2,2.0,16128,3871.059694427803,yes
83,3,4.0,16128,974.0,yes
84,1,1.0,16128,3871.059694427803,no
85,3,2.0,16128,43560.0,no
86,4,3.5,16128,3405.0,yes
87,2,1.5,16128,6827.0,yes
88,1,1.0,16128,21780.0,yes
89,2,2.0,16128,3871.059694427803,yes
90,3,5.5,16128,1336.0,yes
91,2,1.0,16128,5100.0,yes
92,3,2.0,16128,5000.0,yes
93,4,3.0,16128,10454.4,yes
94,4,3.5,16128,4000.0,yes
95,3,1.0,16128,5000.0,yes
96,3,2.5,16128,176418.0,yes
97,4,4.0,16128,4000.0,yes
98,3,2.0,16128,6180.0,yes
99,1,1.0,16128,3871.059694427803,yes
100,3,3.0,16128,525.0,yes
101,1,1.0,16128,3871.059694427803,yes
102,1,1.0,16128,3871.059694427803,yes
103,4,2.0,16128,5400.0,yes
104,2,2.0,16128,3871.059694427803,yes
105,4,3.5,16128,7650.0,yes
106,1,1.0,16128,3871.059694427803,yes
107,4,4.0,16128,6000.0,yes
108,3,1.0,16128,3750.0,yes
109,3,2.0,16128,5000.0,yes
110,3,3.5,16128,8500.0,yes
111,2,1.5,16128,6000.0,yes
