beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,2.5,2590,sqft,6000,sqft,98144,yes
4,2,2240,sqft,0.31,acre,98106,yes
4,3,2040,sqft,3783,sqft,98107,yes
4,3,3800,sqft,5175,sqft,98199,yes
2,2,1042,sqft,,,98102,yes
2,2,1190,sqft,1,acre,98107,yes
1,1,670,sqft,6000,sqft,98133,yes
5,3.5,4510,sqft,6000,sqft,98105,no
3,2.5,1520,sqft,741,sqft,98108,no
4,2,2340,sqft,9500,sqft,98178,no
3,2,1320,sqft,1386,sqft,98103,yes
3,2,1800,sqft,3993,sqft,98177,yes
3,2.5,2490,sqft,5757,sqft,98103,yes
4,3,2650,sqft,6380,sqft,98115,yes
5,1.5,2560,sqft,5200,sqft,98199,yes
2,1.5,900,sqft,,,98133,yes
3,3.5,1360,sqft,,,98103,yes
1,1,550,sqft,,,98122,yes
3,2.5,2974,sqft,3840,sqft,98119,yes
4,3.5,1989,sqft,1607,sqft,98117,yes
2,2,1332,sqft,1101,sqft,98199,yes
4,3,2668,sqft,5589,sqft,98116,no
2,1,770,sqft,5250,sqft,98133,no
3,1.5,1280,sqft,9100,sqft,98146,yes
5,3.5,3200,sqft,9260,sqft,98133,yes
2,1.5,889,sqft,0.23,acre,98103,yes
1,1,508,sqft,,,98109,yes
3,2,3140,sqft,5000,sqft,98117,yes
4,2,2000,sqft,8077,sqft,98125,yes
1,1,792,sqft,,,98101,yes
3,2.5,1690,sqft,1733,sqft,98108,yes
4,5.5,3000,sqft,5520,sqft,98126,yes
3,3,1550,sqft,1400,sqft,98115,yes
2,2,871,sqft,0.29,acre,98119,yes
4,1.5,1940,sqft,8778,sqft,98118,yes
1,1,474,sqft,,,98101,yes
3,2,1770,sqft,3349,sqft,98146,yes
5,5,2510,sqft,0.27,acre,98133,yes
1,1,750,sqft,,,98199,yes
1,1,573,sqft,,,98102,yes
3,2.5,1500,sqft,1056,sqft,98103,yes
5,4,2920,sqft,6323,sqft,98133,yes
3,2,2817,sqft,6375,sqft,98103,yes
1,1,617,sqft,0.49,acre,98109,yes
2,2,1280,sqft,3000,sqft,98112,yes
2,2,1523,sqft,,,98121,yes
2,1,1240,sqft,5038,sqft,98126,yes
4,2.5,2280,sqft,3932,sqft,98106,yes
5,3.5,3590,sqft,0.36,acre,98136,yes
